t,,,8.73591334,0.097065704,0.970657038,,,,,2.183978335,2.911971113,,,2.911971113,,,2.183978335
R0 ,,,,,,,,,,,,,,17.1705,,,22.894
tiempo,infectados,Umbrales,"SI 0,01","SI 0,9","SI  ?=0,09","SI 0,08","SI 0,10","SI 0,05","SI 0,4","SI  ?=0,04","SI  ?=0,03","SIR ?=0,03   µ=0,05","SIR ?=0,03   µ=0,01","SIR ?=0,03   µ=0,02","SIR ?=0,03   µ=0,03","SIR ?=0,04   µ=0,01","SIR ?=0,04   µ=0,02"
,,,3057,,,,,,,,,,417,,,400,
,,,3059,,,,,,,,,,410,,,394,
,,,3059,,,,,,,,,,402,,,390,
,,,3063,,,,,,,,,,397,,,390,
,,,3065,,,,,,,,,,394,,,384,
,,,3067,,,,,,,,,,392,,,379,
,,,3068,,,,,,,,,,389,,,377,
,,,3072,,,,,,,,,,388,,,373,
,,,3074,,,,,,,,,,384,,,370,
,,,3076,,,,,,,,,,380,,,367,
,,,3079,,,,,,,,,,375,,,365,
,,,3081,,,,,,,,,,371,,,361,
,,,3086,,,,,,,,,,365,,,358,
,,,3087,,,,,,,,,,360,,,356,
,,,3087,,,,,,,,,,352,,,353,
,,,3090,,,,,,,,,,346,,,349,
,,,3090,,,,,,,,,,343,,,346,
,,,3091,,,,,,,,,,340,,,344,
,,,3092,,,,,,,,,,337,,,342,
,,,3093,,,,,,,,,,336,,,338,
,,,3095,,,,,,,,,,335,,,333,
,,,3096,,,,,,,,,,333,,,332,
,,,3096,,,,,,,,,,329,,,330,
,,,3096,,,,,,,,,,325,,,328,
,,,3098,,,,,,,,,,323,,,324,
,,,3099,,,,,,,,,,315,,,322,
,,,3102,,,,,,,,,,312,,,320,
,,,3103,,,,,,,,,,311,,,317,
,,,3107,,,,,,,,,,309,,,315,
,,,3107,,,,,,,,,,308,,,312,
,,,3110,,,,,,,,,,305,,,310,
,,,3112,,,,,,,,,,305,,,305,
,,,3112,,,,,,,,,,301,,,301,
,,,3115,,,,,,,,,,300,,,296,
,,,3117,,,,,,,,,,297,,,292,
,,,3117,,,,,,,,,,294,,,290,
,,,3118,,,,,,,,,,292,,,286,
,,,3121,,,,,,,,,,290,,,282,
,,,3123,,,,,,,,,,288,,,280,
,,,3124,,,,,,,,,,287,,,278,
,,,3125,,,,,,,,,,283,,,276,
,,,3126,,,,,,,,,,281,,,274,
,,,3127,,,,,,,,,,279,,,272,
,,,3130,,,,,,,,,,274,,,271,
,,,3133,,,,,,,,,,270,,,267,
,,,3134,,,,,,,,,,265,,,265,
,,,3135,,,,,,,,,,262,,,262,
,,,3136,,,,,,,,,,258,,,259,
,,,3138,,,,,,,,,,255,,,255,
,,,3140,,,,,,,,,,254,,,253,
,,,3140,,,,,,,,,,251,,,252,
,,,3140,,,,,,,,,,248,,,248,
,,,3143,,,,,,,,,,246,,,244,
,,,3144,,,,,,,,,,243,,,244,
,,,3144,,,,,,,,,,243,,,242,
,,,3147,,,,,,,,,,239,,,241,
,,,3147,,,,,,,,,,236,,,237,
,,,3150,,,,,,,,,,235,,,234,
,,,3152,,,,,,,,,,235,,,232,
,,,3153,,,,,,,,,,232,,,229,
,,,3154,,,,,,,,,,231,,,227,
,,,3157,,,,,,,,,,229,,,220,
,,,3159,,,,,,,,,,228,,,219,
,,,3159,,,,,,,,,,224,,,218,
,,,3160,,,,,,,,,,224,,,215,
,,,3161,,,,,,,,,,219,,,214,
,,,3161,,,,,,,,,,216,,,214,
,,,3161,,,,,,,,,,213,,,214,
,,,3162,,,,,,,,,,212,,,214,
