AIRLINE;AIRLINE ID;Source airport;Source;"Destination airport	";Target;Codeshare;Stops;Equipment;
3H;;YUY;92;YGW;2307;;0;DH8;
3H;;YUY;92;YUL;89;;0;DH8;
3H;;YVP;95;XGR;2322;;0;DHT BET;
3H;;YVP;95;YGW;2307;;0;BET;
3H;;YVP;95;YKG;2297;;0;DH8;
3H;;YVP;95;YKL;53;;0;DH8 BET;
3H;;YVP;95;YPH;2326;;0;BET;
3H;;YVP;95;YPJ;2318;;0;DHT;
3H;;YVP;95;YPX;2899;;0;BET;
3H;;YVP;95;YTQ;2900;;0;DHT DH8;
3H;;YWB;3119;YQC;2310;;0;DH8;
3H;;YWB;3119;YZG;2338;;0;DH8;
3H;;YWK;99;YKL;53;;0;BET;
3H;;YWK;99;YZV;130;;0;BET;
3H;;YZG;2338;YIK;2315;;0;DH8;
3H;;YZG;2338;YWB;3119;;0;DH8;
3H;;YZV;130;YKL;53;;0;BET DH8;
3H;;YZV;130;YWK;99;;0;BET;
3J;5521;JIB;2086;DXB;1017;;0;737;
3J;5521;JIB;2086;JED;977;;0;737;
3J;5521;JIB;2086;MGQ;2407;;0;737;
3J;5521;MGQ;2407;NBO;2043;;0;737;
3J;5521;NBO;2043;MGQ;2407;;0;737;
3K;3021;BKK;1922;SIN;1610;;0;320;
3K;3021;DRW;1994;SIN;1610;;0;320;
3K;3021;HAK;2087;SIN;1610;;0;320;
3K;3021;HGH;1665;SIN;1610;;0;320;
3K;3021;HKG;1486;SIN;1610;;0;320;
3K;3021;HKT;1537;SIN;1610;;0;320;
3K;3021;KIX;1989;MNL;1115;;0;320;
3K;3021;KIX;1989;TPE;1056;;0;320;
3K;3021;KUL;1605;SIN;1610;;0;320;
3K;3021;MNL;1115;KIX;1989;;0;320;
3K;3021;MNL;1115;SIN;1610;;0;320;
3K;3021;PEN;1608;SIN;1610;;0;320;
3K;3021;PER;1636;SIN;1610;;0;320;
3K;3021;PNH;1466;SIN;1610;;0;320;
3K;3021;REP;1467;SIN;1610;;0;320;
3K;3021;RGN;1560;SIN;1610;;0;320;
3K;3021;SGN;1548;SIN;1610;;0;320;
3K;3021;SIN;1610;BKK;1922;;0;320;
3K;3021;SIN;1610;DRW;1994;;0;320;
3K;3021;SIN;1610;HAK;2087;;0;320;
3K;3021;SIN;1610;HGH;1665;;0;320;
3K;3021;SIN;1610;HKG;1486;;0;320;
3K;3021;SIN;1610;HKT;1537;;0;320;
3K;3021;SIN;1610;KUL;1605;;0;320;
3K;3021;SIN;1610;MNL;1115;;0;320;
3K;3021;SIN;1610;PEN;1608;;0;320;
3K;3021;SIN;1610;PER;1636;;0;320;
3K;3021;SIN;1610;PNH;1466;;0;320;
3K;3021;SIN;1610;REP;1467;;0;320;
3K;3021;SIN;1610;RGN;1560;;0;320;
3K;3021;SIN;1610;SGN;1548;;0;320;
3K;3021;SIN;1610;SWA;2179;;0;320;
3K;3021;SIN;1610;TPE;1056;;0;320;
3K;3021;SWA;2179;SIN;1610;;0;320;
3K;3021;TPE;1056;KIX;1989;;0;320;
3K;3021;TPE;1056;SIN;1610;;0;320;
3L;2916;ACH;759;EBA;707;;0;DH3;
3L;2916;DRS;189;ZRH;758;;0;DH3;
3L;2916;DUS;195;FDH;211;;0;DH3;
3L;2916;EBA;707;ACH;759;;0;DH3;
3L;2916;EBA;707;FDH;211;;0;DH3;
3L;2916;EBA;707;MUC;196;;0;DH3;
3L;2916;EBA;707;ZRH;758;;0;DH3;
3L;2916;FDH;211;DUS;195;;0;DH3;
3L;2916;FDH;211;EBA;707;;0;DH3;
3L;2916;FDH;211;HAM;193;;0;AT7;
3L;2916;FDH;211;OLB;690;;0;AT7;
3L;2916;FDH;211;TXL;201;;0;AT7;
3L;2916;FDH;211;ZAD;565;;0;AT7;
3L;2916;FMM;1984;NAP;708;;0;AT7;
3L;2916;GRZ;724;ZRH;758;;0;DH3;
3L;2916;HAM;193;FDH;211;;0;AT7;
3L;2916;MUC;196;EBA;707;;0;DH3;
3L;2916;NAP;708;FMM;1984;;0;AT7;
3L;2916;OLB;690;FDH;211;;0;AT7;
3L;2916;SZG;727;ZRH;758;;0;DH3;
3L;2916;TXL;201;FDH;211;;0;AT7;
3L;2916;ZAD;565;FDH;211;;0;AT7;
3L;2916;ZRH;758;DRS;189;;0;DH3;
3L;2916;ZRH;758;EBA;707;;0;DH3;
3L;2916;ZRH;758;GRZ;724;;0;DH3;
3L;2916;ZRH;758;SZG;727;;0;DH3;
3M;20710;ATL;1812;LWB;2977;;0;SF3;
3M;20710;ATL;1812;MCN;1859;;0;SF3;
3M;20710;ATL;1812;MEI;2199;;0;SF3;
3M;20710;ATL;1812;MSL;2460;;0;SF3;
3M;20710;ATL;1812;PIB;2463;;0;SF3;
3M;20710;ATL;1812;TUP;2476;;0;SF3;
3M;20710;BIM;888;FLL;1739;;0;SF3;
3M;20710;ELH;890;FLL;1739;;0;SF3;
3M;20710;ELH;890;PBI;1838;;0;SF3;
3M;20710;EYW;1915;FLL;1739;;0;SF3;
3M;20710;EYW;1915;RSW;1870;;0;SF3;
3M;20710;EYW;1915;TPA;1793;;0;SF3;
3M;20710;FLL;1739;BIM;888;;0;SF3;
3M;20710;FLL;1739;ELH;890;;0;SF3;
3M;20710;FLL;1739;EYW;1915;;0;SF3;
3M;20710;FLL;1739;FPO;893;;0;SF3;
3M;20710;FLL;1739;GGT;889;;0;SF3;
3M;20710;FLL;1739;GHB;891;;0;SF3;
3M;20710;FLL;1739;MCO;1918;;0;SF3;
3M;20710;FLL;1739;MHH;885;;0;SF3;
3M;20710;FLL;1739;TCB;887;;0;SF3;
3M;20710;FLL;1739;TPA;1793;;0;SF3;
3M;20710;FPO;893;FLL;1739;;0;SF3;
3M;20710;GGT;889;FLL;1739;;0;SF3;
3M;20710;GGT;889;GHB;891;;0;SF3;
3M;20710;GHB;891;FLL;1739;;0;SF3;
3M;20710;GLH;2664;TUP;2476;;0;SF3;
3M;20710;GNV;1716;MCO;1918;;0;SF3;
3M;20710;GNV;1716;TPA;1793;;0;SF3;
3M;20710;JAX;1830;MHH;885;;0;SF3;
3M;20710;JAX;1830;TPA;1793;;0;SF3;
3M;20710;LWB;2977;ATL;1812;;0;SF3;
3M;20710;MCN;1859;ATL;1812;;0;SF3;
3M;20710;MCN;1859;MCO;1918;;0;SF3;
3M;20710;MCO;1918;FLL;1739;;0;SF3;
3M;20710;MCO;1918;GNV;1716;;0;SF3;
3M;20710;MCO;1918;MCN;1859;;0;SF3;
3M;20710;MCO;1918;MHH;885;;0;SF3;
3M;20710;MCO;1918;PNS;1752;;0;SF3;
3M;20710;MCO;1918;RSW;1870;;0;SF3;
3M;20710;MCO;1918;TLH;1822;;0;SF3;
3M;20710;MEI;2199;ATL;1812;;0;SF3;
3M;20710;MHH;885;FLL;1739;;0;SF3;
3M;20710;MHH;885;JAX;1830;;0;SF3;
3M;20710;MHH;885;MCO;1918;;0;SF3;
3M;20710;MHH;885;PBI;1838;;0;SF3;
3M;20710;MSL;2460;ATL;1812;;0;SF3;
3M;20710;PBI;1838;ELH;890;;0;SF3;
3M;20710;PBI;1838;MHH;885;;0;SF3;
3M;20710;PBI;1838;TPA;1793;;0;SF3;
3M;20710;PIB;2463;ATL;1812;;0;SF3 ;
3M;20710;PNS;1752;MCO;1918;;0;SF3;
3M;20710;PNS;1752;TPA;1793;;0;SF3;
3M;20710;RSW;1870;EYW;1915;;0;SF3;
3M;20710;RSW;1870;MCO;1918;;0;SF3;
3M;20710;TCB;887;FLL;1739;;0;SF3;
3M;20710;TLH;1822;MCO;1918;;0;SF3;
3M;20710;TLH;1822;TPA;1793;;0;SF3;
